ID,graphml
paf0,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""CLEON Ier--"">      <data key=""d0"">CLEON Ier--;Cleon</data>    </node>    <node id=""Empereur"">      <data key=""d0"">Empereur</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel;Demerzel</data>    </node>    <edge source=""CLEON Ier--"" target=""Empereur"" />    <edge source=""CLEON Ier--"" target=""Hari Seldon"" />    <edge source=""CLEON Ier--"" target=""Eto Demerzel"" />    <edge source=""Empereur"" target=""Hari Seldon"" />    <edge source=""Empereur"" target=""Eto Demerzel"" />    <edge source=""Hari Seldon"" target=""Eto Demerzel"" />  </graph></graphml>"
paf1,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Cleon Ier"">      <data key=""d0"">Cleon Ier</data>    </node>    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Marbie"">      <data key=""d0"">Marbie</data>    </node>    <node id=""Alem"">      <data key=""d0"">Alem</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <edge source=""Cleon Ier"" target=""Seldon"" />    <edge source=""Cleon Ier"" target=""Marbie"" />    <edge source=""Cleon Ier"" target=""Alem"" />    <edge source=""Cleon Ier"" target=""Hummin"" />    <edge source=""Marbie"" target=""Alem"" />    <edge source=""Alem"" target=""Hummin"" />  </graph></graphml>"
paf2,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />  </graph></graphml>"
paf3,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Demerzel"" />  </graph></graphml>"
paf4,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Lisung Randa"">      <data key=""d0"">Lisung Randa;Randa</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <edge source=""Hari Seldon"" target=""Hummin"" />    <edge source=""Hari Seldon"" target=""Lisung Randa"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hummin"" target=""Lisung Randa"" />    <edge source=""Lisung Randa"" target=""Dors"" />  </graph></graphml>"
paf5,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Seldon"">      <data key=""d0"">Seldon;Hari Seldon</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <node id=""Jenarr Leggen"">      <data key=""d0"">Jenarr Leggen;Leggen</data>    </node>    <node id=""Heliconien"">      <data key=""d0"">Heliconien</data>    </node>    <node id=""Hari"">      <data key=""d0"">Hari;Hari Seldon</data>    </node>    <node id=""Clowzia"">      <data key=""d0"">Clowzia</data>    </node>    <edge source=""Seldon"" target=""Dors Venabili"" />    <edge source=""Seldon"" target=""Jenarr Leggen"" />    <edge source=""Seldon"" target=""Heliconien"" />    <edge source=""Seldon"" target=""Hari"" />    <edge source=""Seldon"" target=""Clowzia"" />    <edge source=""Dors Venabili"" target=""Jenarr Leggen"" />    <edge source=""Dors Venabili"" target=""Heliconien"" />    <edge source=""Dors Venabili"" target=""Hari"" />    <edge source=""Dors Venabili"" target=""Clowzia"" />    <edge source=""Jenarr Leggen"" target=""Heliconien"" />    <edge source=""Jenarr Leggen"" target=""Hari"" />    <edge source=""Jenarr Leggen"" target=""Clowzia"" />    <edge source=""Heliconien"" target=""Hari"" />    <edge source=""Heliconien"" target=""Clowzia"" />    <edge source=""Hari"" target=""Clowzia"" />  </graph></graphml>"
paf6,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Seldon"">      <data key=""d0"">Seldon</data>    </node>    <node id=""Hummin"">      <data key=""d0"">Hummin</data>    </node>    <node id=""Eto Demerzel"">      <data key=""d0"">Eto Demerzel</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <edge source=""Seldon"" target=""Hummin"" />    <edge source=""Seldon"" target=""Eto Demerzel"" />    <edge source=""Hummin"" target=""Eto Demerzel"" />    <edge source=""Eto Demerzel"" target=""Dors"" />  </graph></graphml>"
paf7,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Endor Levanian"">      <data key=""d0"">Endor Levanian;Levanian</data>    </node>    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Endor Levanian"" />    <edge source=""Dors"" target=""Endor Levanian"" />  </graph></graphml>"
paf8,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Mycogene"">      <data key=""d0"">Mycogene</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Grisnuage"">      <data key=""d0"">Grisnuage</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <edge source=""Mycogene"" target=""Hari Seldon"" />    <edge source=""Mycogene"" target=""Grisnuage"" />    <edge source=""Mycogene"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Grisnuage"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Grisnuage"" target=""Dors"" />  </graph></graphml>"
paf9,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Frere"">      <data key=""d0"">Frere</data>    </node>    <node id=""Mycogene"">      <data key=""d0"">Mycogene</data>    </node>    <edge source=""Hari Seldon"" target=""Frere"" />    <edge source=""Hari Seldon"" target=""Mycogene"" />    <edge source=""Frere"" target=""Mycogene"" />  </graph></graphml>"
paf10,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <graph edgedefault=""undirected"" /></graphml>"
paf11,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <edge source=""Hari Seldon"" target=""Dors Venabili"" />  </graph></graphml>"
paf12,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;L;l</data>    </node>    <node id=""Empereur"">      <data key=""d0"">Empereur;Empereurs</data>    </node>    <node id=""Demerzel"">      <data key=""d0"">Demerzel;L;l</data>    </node>    <node id=""Cleon"">      <data key=""d0"">Cleon;L;l</data>    </node>    <edge source=""Hari Seldon"" target=""Empereur"" />    <edge source=""Hari Seldon"" target=""Demerzel"" />    <edge source=""Hari Seldon"" target=""Cleon"" />    <edge source=""Empereur"" target=""Demerzel"" />    <edge source=""Empereur"" target=""Cleon"" />    <edge source=""Demerzel"" target=""Cleon"" />  </graph></graphml>"
paf13,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""DAHL"">      <data key=""d0"">DAHL</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Hari</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <node id=""-- Mere"">      <data key=""d0"">-- Mere</data>    </node>    <edge source=""DAHL"" target=""Hari Seldon"" />    <edge source=""DAHL"" target=""Dors Venabili"" />    <edge source=""DAHL"" target=""-- Mere"" />    <edge source=""Hari Seldon"" target=""Dors Venabili"" />    <edge source=""Hari Seldon"" target=""-- Mere"" />    <edge source=""Dors Venabili"" target=""-- Mere"" />  </graph></graphml>"
paf14,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""Davan"">      <data key=""d0"">Davan</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon</data>    </node>    <node id=""Dors Venabili"">      <data key=""d0"">Dors Venabili;Dors</data>    </node>    <node id=""Maitre Tisalver"">      <data key=""d0"">Maitre Tisalver;Tisalver</data>    </node>    <node id=""Maitresse Venabili"">      <data key=""d0"">Maitresse Venabili;Maitresse</data>    </node>    <edge source=""Davan"" target=""Hari Seldon"" />    <edge source=""Davan"" target=""Dors Venabili"" />    <edge source=""Davan"" target=""Maitre Tisalver"" />    <edge source=""Davan"" target=""Maitresse Venabili"" />    <edge source=""Hari Seldon"" target=""Dors Venabili"" />    <edge source=""Hari Seldon"" target=""Maitre Tisalver"" />    <edge source=""Hari Seldon"" target=""Maitresse Venabili"" />    <edge source=""Dors Venabili"" target=""Maitre Tisalver"" />    <edge source=""Dors Venabili"" target=""Maitresse Venabili"" />    <edge source=""Maitre Tisalver"" target=""Maitresse Venabili"" />  </graph></graphml>"
paf15,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <key id=""d0"" for=""node"" attr.name=""names"" attr.type=""string"" />  <graph edgedefault=""undirected"">    <node id=""RAYCH"">      <data key=""d0"">RAYCH;Raych</data>    </node>    <node id=""Hari Seldon"">      <data key=""d0"">Hari Seldon;Seldon;Hari</data>    </node>    <node id=""ALACT"">      <data key=""d0"">ALACT</data>    </node>    <node id=""Dors"">      <data key=""d0"">Dors</data>    </node>    <node id=""Maire"">      <data key=""d0"">Maire</data>    </node>    <node id=""Dahl"">      <data key=""d0"">Dahl</data>    </node>    <edge source=""RAYCH"" target=""Hari Seldon"" />    <edge source=""RAYCH"" target=""ALACT"" />    <edge source=""RAYCH"" target=""Dors"" />    <edge source=""RAYCH"" target=""Maire"" />    <edge source=""RAYCH"" target=""Dahl"" />    <edge source=""Hari Seldon"" target=""ALACT"" />    <edge source=""Hari Seldon"" target=""Dors"" />    <edge source=""Hari Seldon"" target=""Maire"" />    <edge source=""Hari Seldon"" target=""Dahl"" />    <edge source=""ALACT"" target=""Dors"" />    <edge source=""ALACT"" target=""Maire"" />    <edge source=""ALACT"" target=""Dahl"" />  </graph></graphml>"
paf16,"<graphml xmlns=""http://graphml.graphdrawing.org/xmlns"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xsi:schemaLocation=""http://graphml.graphdrawing.org/xmlns http://graphml.graphdrawing.org/xmlns/1.0/graphml.xsd"">  <graph edgedefault=""undirected"" /></graphml>"
